trade_date,symbol,pclose,close,pct_change
2021-06-22,CHAMS,0.2,0.21,5.0
2021-06-22,CHIPLC,0.65,0.64,-1.54
2021-06-22,CILEASING,4.75,4.75,
2021-06-22,CONOIL,20.9,20.9,
2021-06-22,CORNERST,0.55,0.51,-7.27
2021-06-22,COURTVILLE,0.2,0.21,5.0
2021-06-22,CUSTODIAN,5.95,5.95,
2021-06-22,CUTIX,2.77,2.77,
2021-06-22,CWG,1.15,1.15,
2021-06-22,DANGCEM,230.0,230.0,
2021-06-22,DANGSUGAR,17.7,17.7,
2021-06-22,ETERNA,7.65,7.65,
2021-06-22,ETI,5.15,5.15,
2021-06-22,ETRANZACT,2.25,2.25,
2021-06-22,FBNH,7.3,7.15,-2.05
2021-06-22,FCMB,3.15,3.15,-3.81
2021-06-22,FIDELITYBK,2.27,2.28,0.44
2021-06-22,FIDSON,4.6,5.06,10.0
2021-06-22,FLOURMILL,29.9,29.8,-0.33
2021-06-22,FTNCOCOA,0.3,0.3,
2021-06-22,GLAXOSMITH,6.0,6.05,0.83
2021-06-22,GSPECPLC,4.19,4.19,
2021-06-22,GUINNESS,29.0,29.0,
2021-06-22,HONYFLOUR,1.44,1.4,-2.78
2021-06-22,IKEJAHOTEL,0.97,0.91,-6.19
2021-06-22,INTBREW,5.4,5.4,
2021-06-22,JAIZBANK,0.59,0.6,1.69
2021-06-22,JAPAULGOLD,0.49,0.51,4.08
2021-06-22,JBERGER,20.0,20.0,
2021-06-22,LASACO,1.36,1.37,0.74
2021-06-22,LEARNAFRCA,1.08,1.01,-6.48
2021-06-22,LIVESTOCK,1.84,1.8,-2.17
2021-06-22,MANSARD,0.9,0.9,
2021-06-22,MAYBAKER,4.04,4.04,
2021-06-22,MBENEFIT,0.41,0.38,-7.32
2021-06-22,MEYER,0.62,0.59,-4.84
2021-06-22,MRS,12.6,12.6,
2021-06-22,MTNN,165.0,165.0,
2021-06-22,NAHCO,2.3,2.25,-2.17
2021-06-22,NASCON,14.5,14.35,-1.03
2021-06-22,NB,59.0,59.2,0.34
2021-06-22,NCR,2.27,2.27,
2021-06-22,NEIMETH,1.78,1.72,-3.37
2021-06-22,NEM,1.9,1.9,
2021-06-22,NESF,552.2,552.2,
2021-06-22,NESTLE,1400.0,1400.0,
2021-06-22,NIGERINS,0.2,0.2,
2021-06-22,NNFM,6.15,6.15,
2021-06-22,NPFMCRFBK,1.9,1.9,
2021-06-22,OANDO,2.92,2.94,0.68
2021-06-22,OKOMUOIL,105.5,105.5,
2021-06-22,PREMPAINTS,10.0,10.0,
2021-06-22,PRESCO,76.0,72.6,-4.47
2021-06-22,PZ,5.8,5.5,-5.17
2021-06-22,REDSTAREX,3.35,3.67,9.55
2021-06-22,REGALINS,0.52,0.52,
2021-06-22,ROYALEX,0.69,0.7,1.45
2021-06-22,RTBRISCOE,0.2,0.2,
2021-06-22,SEPLAT,700.0,700.0,
2021-06-22,SOVRENINS,0.25,0.26,4.0
2021-06-22,STANBIC,39.9,39.55,-0.88
2021-06-22,STERLNBANK,1.61,1.61,-2.48
2021-06-22,TOTAL,145.0,145.0,
2021-06-22,TRANSCOHOT,3.57,3.57,
2021-06-22,TRANSCORP,0.91,0.9,-1.1
2021-06-22,TRIPPLEG,0.7,0.7,
2021-06-22,UACN,9.9,9.8,-1.01
2021-06-22,UAC-PROP,0.83,0.81,-2.41
2021-06-22,UBA,7.3,7.3,-0.68
2021-06-22,UBN,5.8,5.8,
2021-06-22,UCAP,6.17,6.17,-1.13
2021-06-22,UNILEVER,13.2,13.2,
2021-06-22,UNITYBNK,0.58,0.58,
2021-06-22,UNIVINSURE,0.2,0.2,
2021-06-22,UPDCREIT,5.6,5.65,0.89
2021-06-22,UPL,1.68,1.68,
2021-06-22,VERITASKAP,0.22,0.24,9.09
2021-06-22,VITAFOAM,12.4,13.6,9.68
2021-06-22,WAPCO,21.0,21.0,
2021-06-22,WAPIC,0.55,0.55,
2021-06-22,WEMABANK,0.55,0.57,3.64
2021-06-22,ZENITHBANK,23.9,23.8,-0.42
2021-06-23,ABCTRANS,0.37,0.37,
2021-06-23,ACADEMY,0.33,0.32,-3.03
2021-06-23,ACCESS,8.55,8.35,-2.34
2021-06-23,AFRIPRUD,6.3,6.3,-3.97
2021-06-23,AIICO,1.1,1.08,-1.82
2021-06-23,AIRTELAFRI,678.0,678.0,
