event_type,category,event_uid,announced_date,effective_date,publication_ts,scope,index_code,ticker,headline,outcome_numeric,outcome_text,severity,direction,structurally_impairing,source_url,notes
mpc_decision,monetary,CBN-MPC-2019-03-26,2019-03-26,2019-03-26,,market,,,MPC: MPR cut to 13.50%,13.5,cut -50bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2019-05-21,2019-05-21,2019-05-21,,market,,,MPC: MPR retained at 13.50%,13.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2019-07-23,2019-07-23,2019-07-23,,market,,,MPC: MPR retained at 13.50%,13.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2019-11-26,2019-11-26,2019-11-26,,market,,,MPC: MPR retained at 13.50%,13.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2020-01-24,2020-01-24,2020-01-24,,market,,,MPC: MPR retained at 13.50%,13.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2020-03-24,2020-03-24,2020-03-24,,market,,,MPC: MPR retained at 13.50%,13.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2020-05-28,2020-05-28,2020-05-28,,market,,,MPC: MPR cut to 12.50%,12.5,cut -,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2020-09-22,2020-09-22,2020-09-22,,market,,,MPC: MPR cut to 11.50%,11.5,cut -100bps,high,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2020-11-24,2020-11-24,2020-11-24,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
mpc_decision,monetary,CBN-MPC-2021-01-26,2021-01-26,2021-01-26,,market,,,MPC: MPR retained at 11.50%,11.5,hold,medium,unknown,0,https://www.cbn.gov.ng/monetarypolicy/decisions.html,Parsed from CBN decisions page 2026-07-16; meeting no. unstated; CRR_DMB=None
