ticker,first_observation,last_observation,years_observed,calendar_year_gaps,observations,current_security_present,canonical_instrument_id,canonical_mapping_status
GLAXOSMITH,2014-06-30,2024-01-19,11,0,4509,True,01a054a7-4be7-7e3f-9ed1-d8dbc3665306,unique_current_alias
GNI,2014-07-14,2018-12-24,5,0,290,True,01a054a7-4be7-7c29-8ee1-9e969ffa494e,unique_current_alias
GOLDBREW,2014-07-14,2025-05-05,12,0,1249,True,01a054a7-4be7-78a9-8bca-282855ce0e32,unique_current_alias
GOLDINSURE,2019-02-18,2019-07-01,1,0,106,True,01a054a7-4be7-7c90-927b-832fb673aba7,unique_current_alias
GREENWETF,2023-08-04,2026-08-07,4,0,383,True,01a054a7-4be7-73c1-9323-dca356847262,unique_current_alias
GSPECPLC,2017-11-27,2023-03-23,7,0,669,True,01a054a7-4be7-7a16-9b0d-6d73eb90cbdb,unique_current_alias
GTCO,2021-06-24,2026-08-07,6,0,2373,True,01a054a7-4be7-7f40-aafe-952473422b07,unique_current_alias
GUARANTY,2014-06-30,2021-06-17,8,0,3334,True,01a054a7-4be7-791e-ae11-d28ccf5e0601,unique_current_alias
GUINEAINS,2014-07-02,2026-08-07,13,0,2679,True,01a054a7-4be8-78c6-a697-ceded41a6f15,unique_current_alias
GUINNESS,2014-06-30,2026-08-07,13,0,5712,True,01a054a7-4be8-70a7-8cc6-8c38214d43a0,unique_current_alias
HBMNG,2026-07-09,2026-08-07,1,0,30,True,01a054a7-4be8-76ee-9b55-57662d5403b6,unique_current_alias
HMARKINS,2014-06-30,2018-10-26,5,0,908,True,01a054a7-4be8-71f5-a470-461abaf1e881,unique_current_alias
HMCALL,2024-11-20,2026-08-07,3,0,804,True,01a054a7-4be8-7f05-acad-9d61ef32ef35,unique_current_alias
HONYFLOUR,2014-06-30,2026-08-07,13,0,5708,True,01a054a7-4be8-750d-a91d-47bbf016e369,unique_current_alias
IKEJAHOTEL,2014-06-30,2026-08-07,12,1,4453,True,01a054a7-4be8-7ead-b955-0e58a58e7ebe,unique_current_alias
IMG,2021-12-15,2026-08-07,6,0,2038,True,01a054a7-4be8-74de-a39b-58761a684100,unique_current_alias
INFINITY,2014-06-30,2026-08-07,13,0,1557,True,01a054a7-4be8-7d40-b80d-03d4cf6267bb,unique_current_alias
INITSPLC,2016-10-25,2021-06-17,6,0,446,True,01a054a7-4be8-7ee3-89a6-b8549dc1a787,unique_current_alias
INTBREW,2014-06-30,2026-08-07,13,0,5685,True,01a054a7-4be8-74fd-9c08-61110ad4b002,unique_current_alias
